X_coordinate,Y_coordinate,state,code,name,zone,address
77.9946102,8.847387005,Tamil Nadu,KLPM,KAILASAPURAM,SR,"Thattaparai, Tamil Nadu"
77.382161,17.942175,Karnataka,KHNP,Khanapur Deccan,SCR,"State Highway 4, Karnataka"
86.482965,24.255819,Jharkhand,KBSH,Krishna Ballabh,ER,"Giridih, Jharkhand"
69.766265,23.217031,Gujarat,KEMA,KUKMA,WR,"Kutch, Gujarat"
78.793315,10.068518,Tamil Nadu,KKDI,Karaikkudi Junction,SR,"Ariyakudi Road, Tamil Nadu"
77.951395,19.407451,Maharashtra,JXN,JIRONA,?,"Nanded, Maharashtra"
82.923013,23.282475,Chhattisgarh,KJZ,KARONJI,SECR,"Devipur, Chhattisgarh"
77.106996,30.965544,Himachal Pradesh,KDZ,Kandaghat,NR,"Kandhaghat, Himachal Pradesh"
79.848443,10.764487,Tamil Nadu,NPB,Nagapattinam Beach,SR,"Nagapattinam, Tamil Nadu"
79.834833,21.372513,,MNU,MUNDIKOTA,,
74.355654,30.673761,Punjab,JWN,Jiwa Arain,NR,"State Highway 20, Punjab"
79.981657,21.43031,,KWN,KACHEWANI,,
80.3746491022,21.3612928554,,AGN,AMGAON,,
,,,LNMA,LNMA,,
81.291837,21.200327,,DURG,DURG,,
82.494827,22.026018,,KPNA,KAPAN,,
83.332507,21.926994,,KDTR,KIRODIMALNAGAR,,
83.619143,25.173237,,MTGE,MUTHANI,,
80.406913,15.868003,,SPF,STUARTPURAM,,
81.119762,16.717816,,EE,ELURU,,
81.180472,16.781406,,DEL,DENDULURU,,
87.269923,21.892582,,AGV,ANGUA,,
87.284055,21.930376,,DNT,DANTAN,,
86.397414,26.494365,Bihar,KHTN,Khutauna,ECR,"Khutuana, Bihar"
83.618913,25.173007,,BBU,BHABUA ROAD,,
78.658063,27.814972,Uttar Pradesh,KJC,Kasganj City,NER,"State Highway 33, Uttar Pradesh"
83.539684,25.207897,,DGO,DURGAUTI,,
77.8992120465,11.4809140096,,MVPM,MAVELIPALAIYAM,,
77.870439,11.445732,,SGE,SANKARIDURG,,
